name,location,diff,tier,type,server,links,finder,prover,extra
1P Reverse Bonk,Cap Kingdom,0/10,Practice Tier,1P Reverse Bonk,Database,https://drive.google.com/file/d/1v-lkIe44vVP1cRgUdqEaN1Z-91RCKydp/preview,,,
Kleprolling,Lost Kingdom,0/10,Practice Tier,Roll Boost,Database,https://drive.google.com/file/d/1VeDfgIYxCWPb7CZIjC_JnSDck-8oSbi-/preview,Kali,Kali,
Podoboo Overpass,Luncheon Kingdom,0/10,Practice Tier,Capture Jump,Database,https://drive.google.com/file/d/15r2DOvRnx3wThtBL6LI9ctvhSgDSdXDS/preview,,,
9. Parkour,Metro Kingdom,0/10,Practice Tier,"Longjump, Spinless",Database,https://drive.google.com/file/d/1fG9jNzQV0D2t3nVMa6KfryEniELJsZPi/preview,,,
Insanity 2.0,Odyssey,0/10,Practice Tier,Roll Boost,Database,https://drive.google.com/file/d/1YAY7pAI2eOPAo8hXPCT4HxkGwI7-69qX/preview,,,
Number 8: Maggots inside Big Mac!,Metro Kingdom,0/10,Practice Tier,Roll Boost,Database,https://drive.google.com/file/d/1vYbS3bUnJGhLDiGE0sGRs-Kue7ssl08q/preview,CToad7,CToad7,
Pylon Pressure,Metro Kingdom,0/10,Practice Tier,"Uncapture, Spinless",Database,https://drive.google.com/file/d/1dmGTeIMIf_J8LG7Mjci7K6gq4NOAmKrc/preview,,,
ROCKET JUMP,Metro Kingdom,0/10,Practice Tier,"Longjump, Capless",Database,https://drive.google.com/file/d/1ax3FjrAIJsFYXVtBn8_GFNliNBZfAYzM/preview,JoniKauf,JoniKauf,
Salt Sadness,Luncheon Kingdom,0/10,Practice Tier,"Walljump, Spinless, CB-Less",Database,https://drive.google.com/file/d/1SK-N6AuQ1Iab7kSn8TNWN8EIpSIhBd0y/preview,MightyOwl,MightyOwl,The goal of the jump is to bonk on the salt!
Allah Jamp,Sand Kingdom,0/10,Practice Tier,Uncapture,Database,https://drive.google.com/file/d/1IFg27JIWSizENYkBW4Lk-4df-0edd7Ic/preview,Tranman64,Tranman64,"You have to be in a Roll, about to Vault and then home into the Pylon. You have to HCT/MCCT after uncapturing!, This was the 700th Database Role!"
True Insanity,Luncheon Kingdom,0/10,Practice Tier,Roll Boost,Database,https://drive.google.com/file/d/1A62lKveY4Gd6XXfHiUGbEeEVFDTm1iQx/preview,JoniKauf,Gummy,
Insanity 5.0,Metro Kingdom,0/10,Practice Tier,Roll,Database,https://drive.google.com/file/d/1afx-e2UVSzX2ZalAWeUhvJjGFXaKETvI/preview,CToad7,CToad7,
Roulder,Wooded Kingdom,0/10,Practice Tier,Roll Boost,Database,https://drive.google.com/file/d/1UbJQgIAI7yuQ5Mmoj2AoeEmrLIR2VmIw/preview,JoniKauf,JoniKauf,
Bowser's Big Bean Burrito,Bowser's Kingdom,0/10,Practice Tier,Roll Boost,Database,https://drive.google.com/file/d/1DZh8OVAPU88WKKELVZ1FCSJZecK1Ix1j/preview,,,
Cappossible Bonk,Cap Kingdom,0/10,Practice Tier,Bonk,Database,https://drive.google.com/file/d/1ZN2SZOs1rOSLOQVJO08hP25zD1h86Ay-/preview,,,
Mini DSS,Cascade Kingdom,0/10,Practice Tier,"Single Jump, Capless",Database,https://drive.google.com/file/d/1gwIUYKRm0AOjP5obbWGaJsHrg8QGXgTJ/preview,MobbyYt,MobbyYt,
Stupido Line,Ruined Kingdom,0/10,Practice Tier,"Sequence, Groundpound Jump",Database,https://drive.google.com/file/d/1nb1z30Iyki6iaWfu0gxKIfjLl0Iw3DZ4/preview,Doonguin,Doonguin,
Lark Obama,Sand Kingdom,0/10,Practice Tier,"Sky Dram, Final Diveless",Database,https://drive.google.com/file/d/13s4FDnWYyvDK4IKKPel4beBSJNY-mGzN/preview,Repetidora,Repetidora,
Failed Edge Triple,Metro Kingdom,0/10,Practice Tier,Double Jump,Database,https://drive.google.com/file/d/1lLU_HnYCl-6Ucpz0OJmxXA3Ao-9ruKf0/preview,Plessie,Plessie,
Longjump Torch,Luncheon Kingdom,0/10,Practice Tier,"Longjump, Spinless, CB-Less",Database,https://drive.google.com/file/d/1G-duMhCV5Zu-PRyGXpTEdSCNgV8wEbpI/preview,,,
Sans Undertale Jump,Snow Kingdom,0/10,Practice Tier,"Sequence, Uncapture",Database,https://drive.google.com/file/d/1ZZ6Gsvp343In3R67mRFt356diCrQgyKt/preview,b_yoshi,b_yoshi,The jump counts by just uncapturing the Tyfoo and landing on the sloped surface. The beginning doesn't matter (because of database rules).
Insanity,Luncheon Kingdom,0/10,Practice Tier,Roll,Database,https://drive.google.com/file/d/1QmI6mI6AKPRtHdEvoCOHWCGkgQ4VNoSh/preview,JoniKauf,JoniKauf,
Bjonk,Seaside Kingdom,0/10,Practice Tier,Bonk,Database,https://drive.google.com/file/d/10YQBVDMbc5uMg9e9uu4RO9GtNy2JHVHz/preview,,,
Roll me to the Moon,Wooded Kingdom,0/10,Practice Tier,Roll,Database,https://drive.google.com/file/d/1kzkgqchXJZ38qbguA-5Gocil4Rh71yai/preview,MightyOwl,MightyOwl,
Umbrella,Seaside Kingdom,0/10,Practice Tier,"Longjump, Capless",Database,https://drive.google.com/file/d/1gVuesjgUI4SsrXw7svdFIeBCgYhOzowk/preview,MightyOwl,MightyOwl,
Frame Jump,Sand Kingdom,0/10,Practice Tier,"Single Jump, Capless",Database,https://drive.google.com/file/d/1rmsQjlA8K0daDVwFCGSOcwfALaFjLo0x/preview,JoniKauf,JoniKauf,
Insanity 4.0,Snow Kingdom,0/10,Practice Tier,Roll,Database,https://drive.google.com/file/d/11XXF1LqWBFLnwbQ09BDnxiCBglrrcm7f/preview,CToad7,CToad7,
Roll Boost,Sand Kingdom,0/10,Practice Tier,Roll Boost,Database,https://drive.google.com/file/d/1tg3T_l4EojKg1jhnwqTlgqYJEGMPrX5y/preview,JoniKauf,JoniKauf,
Masochist Climb,Moon Kingdom,0/10,Practice Tier,"ZG, Longjump, Capless",Database,https://drive.google.com/file/d/1Uf6ZopQT0BekakJ5p13LDAHqavba9Hjo/preview,JoniKauf,JoniKauf,
Beautiful Moon,Luncheon Kingdom,0/10,Practice Tier,Bonk,Database,https://drive.google.com/file/d/1E_tz8WWly93RC_Rgl_Ue4D701_Ud6hni/preview,JoniKauf,JoniKauf,This block appears after getting the first multi-moon and before the boss fight!
#SuperMarioOdyssey #NintendoSwitch,Snow Kingdom,0/10,Practice Tier,Longjump,Database,https://drive.google.com/file/d/1klPxLYuBMvHJTbkD5dkSu5d0zSvkdtts/preview,Psykho,Psykho,
Sliding Island,Luncheon Kingdom,0/10,Practice Tier,"Slide-Off, Spinless, CB-Less",Database,https://drive.google.com/file/d/17P5UU06LtpZbIy2YzcLdyrOX2fcE4IwA/preview,Gummy,Gummy,
Lmao,Metro Kingdom,0/10,Practice Tier,"Spin Jump, Spinless, CB-Less",Database,https://drive.google.com/file/d/1DMu7PHI9YG9gMhXrVvQOOu623j0NU5Lw/preview,Firefox,Firefox,
Isacan07,Seaside Kingdom,0/10,Practice Tier,"RCV, Capless, Diveless",Database,https://drive.google.com/file/d/1qu81gD9OkPr8vUm7rD9em_EklC5FcoKg/preview,reddy_is_amazing,reddy_is_amazing,
Framed Jump,Cap Kingdom,0/10,Practice Tier,"Single Jump, Capless",Database,https://drive.google.com/file/d/1uNj65Js8G18BD_-EtS_55ZJKRvaDPzl2/preview,IdentXd,IdentXd,You have to respawn from the bubble and jump for it to count.
Cool,Luncheon Kingdom,0/10,Practice Tier,Roll Boost,Database,https://drive.google.com/file/d/18CpDX-LrGQ_t62n69_i4drMhdlzQsX9W/preview,JoniKauf,JoniKauf,
Sign,Luncheon Kingdom,0/10,Practice Tier,"Longjump, Capless",Database,https://drive.google.com/file/d/1rBOuOrZWiFIQhtqcv7YdLb0Ycybpk0nX/preview,MightyOwl,MightyOwl,
Hot,Sand Kingdom,0/10,Practice Tier,Roll,Database,https://drive.google.com/file/d/1hE23Kn9-aR7suNEtqs2iuNu-qwOq3g-f/preview,JoniKauf,JoniKauf,
True Roll Boost,Bowser's Kingdom,0/10,Practice Tier,Roll Boost,Database,https://drive.google.com/file/d/1-Ai79IT3wWTRme7zkwnhjC_ECclciOxV/preview,Firefox,Firefox,
Rocket Ledge,Metro Kingdom,0/10,Practice Tier,"Longjump, Capless",Database,https://drive.google.com/file/d/1zl91rIvwkL5MynVwmi7v44iWSLUmZc_s/preview,smoceany,smoceany,
Cozy Closet,Odyssey,0/10,Practice Tier,"Longjump, Capless",Database,https://drive.google.com/file/d/1H1OIa_ucUkVZ4cA8NRKB5NnunrQH8k9R/preview,Mackansmat,JoniKauf,
Dive Vector,Sand Kingdom,0/10,Practice Tier,"Backflip, Spinless, CB-Less",Database,https://drive.google.com/file/d/1U7foO6BV1t5HpcYur0Y7NNQ3SgOWl4d4/preview,,,
Insanity 3.0,Mushroom Kingdom,0/10,Practice Tier,Roll,Database,https://drive.google.com/file/d/1WNhYBe0ZuZzGeMDdJ_sirYalXBEdnQiP/preview,CToad7,CToad7,
Small pp,Snow Kingdom,0/10,Practice Tier,"Single Jump, Spinless, Final CT-Less",Database,https://drive.google.com/file/d/1i_OqMBfGlr3GDbMYfLWS5Ct8JKmJfAGv/preview,Belle,Belle,
Impossible Bonk,Sand Kingdom,0/10,Practice Tier,Bonk,Database,https://drive.google.com/file/d/1HFtxY7mvIndlKeEuqn_FwEYjfFJId6md/preview,,,
Insanity 6.0,Odyssey,0/10,Practice Tier,Roll,Database,https://drive.google.com/file/d/1P1FoNB7cvgu59Duk5dVFmd0cat6GDnKp/preview,CToad7,CToad7,
Lava Lake Crosser,Darker Side,0/10,Practice Tier,Roll Boost,Database,https://drive.google.com/file/d/1oRoUAiLhKAlpRMugkvnqs1PNSbyI8gLR/preview,,,
Standing Glow,Lake Kingdom,0/10,Practice Tier,"Slide-Off, Spinless, CB-Less",Database,https://drive.google.com/file/d/1cvc86fTbFWUrGZKMFQzBvDiYAfQDMM1N/preview,Flavien,Flavien,
Wet Gap,Bowser's Kingdom,0/10,Practice Tier,"Backflip, Spinless, CB-Less, Diveless",Database,https://drive.google.com/file/d/1KBxeQ_0XsPMgvBhHnUlcCOweBVRLJM4T/preview,JoniKauf,JoniKauf,
Moon Gap,Moon Kingdom,0/10,Practice Tier,"Triple, Capless, ZG",Database,https://drive.google.com/file/d/1BaNUk7TpxyEEkJDaOIlSIRNeDCmlL0F6/preview,b_yoshi,b_yoshi,
Lever Elevator,Cascade Kingdom,0/10,Practice Tier,Roll Boost,Database,https://drive.google.com/file/d/1x0eEjG1z9J7sJZapIkEQjO6-TrqIWSw6/preview,JoniKauf,JoniKauf,
Blonk,Luncheon Kingdom,0/10,Practice Tier,"Backflip, Capless",Database,https://drive.google.com/file/d/1vSY4MKNPzKAFWOUnIZVD-y-Cv-AvJCYH/preview,Gummy,Gummy,
Cushion,Bowser's Kingdom,0/10,Practice Tier,Roll,Database,https://drive.google.com/file/d/1Lr7VoXXsClw2e_9WrQyX6oZA--2kQHeC/preview,,,
Longfall,Cap Kingdom,0/10,Practice Tier,"Longjump, Capless",Database,https://drive.google.com/file/d/1WeRk7NnAZQ_-qA33sMM82_sCo7yxGZUh/preview,matthewpugs24,matthewpugs24,
Insanity 8.0,Lost Kingdom,0/10,Practice Tier,Roll,Database,https://drive.google.com/file/d/1EgTeRN0SkIq15s_H_srY9PK6qL4MPBTV/preview,Chanlanino,Chanlanino,
Insanity 7.0,Snow Kingdom,0/10,Practice Tier,Roll,Database,https://drive.google.com/file/d/1fgR_f3T0W7DqzOwPfc_OVjZVY4-Ba2Ms/preview,CToad7,CToad7,
True Lmao,Metro Kingdom,0/10,Practice Tier,"Spin Jump, Spinless, CB-Less",Database,https://drive.google.com/file/d/1jjJB6hgfflgqhFtdYqLkgOF5ZHRoWuW4/preview,Chanlanino,Chanlanino,
Boney Jaw,Cascade Kingdom,0/10,Practice Tier,"Single Jump, Capless",Database,https://drive.google.com/file/d/1CqtFdLkgGBz5TcpxMjCX7NtICd87JEzA/preview,CToad7,CToad7,
Spinning Over The Rocket,Metro Kingdom,0/10,Practice Tier,,Database,https://drive.google.com/file/d/1Na9XHnGHfF6CSacZqGE8f_S0UkNGsCz_/preview,Pink Man,Pink Man,
Insanity 9.0,Moon Kingdom,0/10,Practice Tier,"Roll, ZG",Database,https://drive.google.com/file/d/1-PQ2G3cPzwfc5fhuUmvQ3k9WB-IEnm4K/preview,Chanlanino,Chanlanino,
Moon on the Island,Cascade Kingdom,0/10,Practice Tier,"Teleport, Spinless, CB-Less",Database,https://drive.google.com/file/d/1CcQU_xtI-iC1aq-JA8HYzA0bTdck09W3/preview,LoukaThePro,LoukaThePro,
Not Gonna Lie,Moon Kingdom,0/10,Practice Tier,"Walljump, Spinless, CB-Less",Database,https://drive.google.com/file/d/1gOAM8qJsglG50Txe6Vv3jG0h7FRZk4oJ/preview,Camilo84,Camilo84,
Cloudy Backrooms,Cloud Kingdom,0/10,Practice Tier,"Walljump, Spinless, CB-Less",Database,https://drive.google.com/file/d/1iD338TaSlecpd4xMyuU9zFtXCTU1VuZT/preview,LoukaThePro,LoukaThePro,"To get in this spot, you need to walk off of the ledge in the corner with assist mode, and after a few tries, you should be grabbing the ledge like this!"
Reverse Bonk Multi Moon Collector,Cascade Kingdom,0/10,Practice Tier,2P Reverse Bonk,Database,https://drive.google.com/file/d/1yLkV-7UIt6qTw4rQohJx3f2E9GZ75Vem/preview,,JoniKauf,
fun,Sand Kingdom,0/10,Practice Tier,"Vertical, Backflip, CB-Less",Database,https://drive.google.com/file/d/1IueYY6uupNYLXWII4BnsUyCWyeQuULdy/preview,Jane,Jane,
"He is here to win the Champion's League, Ha Ha Ha Haaland, Hey!",Mushroom Kingdom,0/10,Practice Tier,"Slide-Off, Capless",Database,https://drive.google.com/file/d/19p4QhAz5NsYjB2LmXGi6lSpphufhErzZ/preview,,,
Insanity 10.0,Darker Side,0/10,Practice Tier,"Roll, ZG",Database,https://drive.google.com/file/d/1wJITMjeemTz42f6yU0qDOEz5UA8rIDP_/preview,,,
Speaker Bonk,Darker Side,0/10,Practice Tier,"Bonk, ZG",Database,https://drive.google.com/file/d/15rYeDDMX66aGt1kniYKJqHN6RZRQVUJ4/preview,,,
True 1P Reverse Bonk,Darker Side,0/10,Practice Tier,"1P Reverse Bonk, ZG",Database,https://drive.google.com/file/d/1ftPP5bZIwJvE_wKXywa_3iQahaEZJdoE/preview,,,
Orango,Odyssey,0/10,Practice Tier,"Backflip, Capless, Diveless, ZG",Database,https://drive.google.com/file/d/1w959aocC-xm18OmZl2sFmemdXQ6BS206/preview,,,How to get Out of Bounds: https://drive.google.com/file/d/1DyyaX7-K0ibIkp-jwHzz8FqiBBnaLL_L/preview
Insanity 11.0,Darker Side,0/10,Practice Tier,Roll,Database,https://drive.google.com/file/d/117yNzNELreDGkPs7Qkmwt1AcZEcJ9ja5/preview,Soupafi,Soupafi,Must be done from a middle platform to a big one to count!
Mki Is My Spirit Animal,Metro Kingdom,0/10,Practice Tier,"Longjump, Capless",Database,https://drive.google.com/file/d/1-1gdKk9Z1KYNYMzS7LoEj91n9N0iNw6J/preview,,,
CGAJ,Metro Kingdom,0/10,Practice Tier,Uncapture,Database,https://drive.google.com/file/d/1lHkZ9-NYsmMb9u_8YiTaOD5uRkGD1hZp/preview,Speedy,Speedy,
Insanity 12.0,Sand Kingdom,0/10,Practice Tier,Roll,Database,https://drive.google.com/file/d/15EwU4K7q_-6HSgI_9kL_HEnZ2aSXvzdP/preview,SupaJay3,SupaJay3,
m4pud,Sand Kingdom,0/10,Practice Tier,"Vertical, Single Jump, CB-Less, WJ-Less",Database,https://drive.google.com/file/d/1X1-bOsJhAdujiG8oz0RimpaB7MPPbLkY/preview,,,
Insanity 13.0,Sand Kingdom,0/10,Practice Tier,Roll Boost,Database,https://drive.google.com/file/d/1_mYLQ5t_jJnqJp2SxbZxRfcy5Lzecp-N/preview,Clash_Gamer,Clash_Gamer,
ZL+B Precision,Bowser's Kingdom,0/10,Practice Tier,"Backflip, Capless, Diveless",Database,https://drive.google.com/file/d/18v73-uJ6PD-rhf0-aTYQFvr2Tie_Zv0n/preview,SupaJay3,SupaJay3,
Rocket Hop 2.0,Metro Kingdom,0/10,Practice Tier,UDV Cancel,Database,https://drive.google.com/file/d/1m0utdOnxFJTDJr4q4AYRdpUAosrc9S3H/preview,SupaJay3,SupaJay3,Start of the jump is from when you exit the pipe from People Room.
Poler Roller,Luncheon Kingdom,0/10,Practice Tier,Roll,Database,https://drive.google.com/file/d/1gYlx6t-cxnGaXaNviGQGb5mCvnmXqhGJ/preview,,,
10 Roll,Bowser's Kingdom,0/10,Practice Tier,Roll,Database,https://drive.google.com/file/d/1u-WjJFGent0pbxRt-v3U0EH5j96bioDE/preview,,,
Ignore,Bowser's Kingdom,0/10,Practice Tier,"RCV, Capless",Database,https://drive.google.com/file/d/1tANoX6ZuDKEuPQKszh77T6cGBm96VeB5/preview,Clash_Gamer,Clash_Gamer,
True Ignore,Bowser's Kingdom,0/10,Practice Tier,"RCV, Capless, Diveless",Database,https://drive.google.com/file/d/1f0TUp5QWUNDkKm76Dn638rR5u4eL5RWN/preview,Clash_Gamer,Clash_Gamer,
Temple Bonk,Sand Kingdom,0/10,Practice Tier,"Vertical, Groundpound Jump, Capless",Database,https://drive.google.com/file/d/1QeVtJ_kURHZFHJpYATtDsVLM6T6KWsF0/preview,Polygon,Polygon,
